Date,DateType,Reason
06/03/2017 00:00:00,Rain,Missing
06/04/2017 00:00:00,Rain,Missing
06/05/2017 00:00:00,Rain,Missing
06/06/2017 00:00:00,Rain,Missing
06/07/2017 00:00:00,Rain,Missing
06/08/2017 00:00:00,Rain,Missing
06/09/2017 00:00:00,Rain,Missing
06/10/2017 00:00:00,Rain,Missing
06/11/2017 00:00:00,Rain,Missing
06/12/2017 00:00:00,Rain,Missing
06/13/2017 00:00:00,Rain,Missing
06/14/2017 00:00:00,Rain,Missing
06/15/2017 00:00:00,Rain,Missing
06/16/2017 00:00:00,Rain,Missing
06/17/2017 00:00:00,Rain,Missing
06/18/2017 00:00:00,Rain,Missing
06/19/2017 00:00:00,Rain,Missing
06/20/2017 00:00:00,Rain,Missing
06/21/2017 00:00:00,Rain,Missing
06/22/2017 00:00:00,Rain,Missing
06/23/2017 00:00:00,Rain,Missing
06/24/2017 00:00:00,Rain,Missing
06/25/2017 00:00:00,Rain,Missing
06/26/2017 00:00:00,Rain,Missing
06/27/2017 00:00:00,Rain,Missing
06/28/2017 00:00:00,Rain,Missing
06/29/2017 00:00:00,Rain,Missing
06/30/2017 00:00:00,Rain,Missing
07/01/2017 00:00:00,Rain,Missing
07/02/2017 00:00:00,Rain,Missing
07/03/2017 00:00:00,Rain,Missing
07/04/2017 00:00:00,Rain,Missing
07/05/2017 00:00:00,Rain,Missing
07/06/2017 00:00:00,Rain,Missing
07/07/2017 00:00:00,Rain,Missing
07/08/2017 00:00:00,Rain,Missing
07/09/2017 00:00:00,Rain,Missing
07/10/2017 00:00:00,Rain,Missing
07/11/2017 00:00:00,Rain,Missing
07/12/2017 00:00:00,Rain,Missing
07/13/2017 00:00:00,Rain,Missing
07/14/2017 00:00:00,Rain,Missing
07/15/2017 00:00:00,Rain,Missing
07/16/2017 00:00:00,Rain,Missing
07/17/2017 00:00:00,Rain,Missing
07/18/2017 00:00:00,Rain,Missing
07/19/2017 00:00:00,Rain,Missing
07/20/2017 00:00:00,Rain,Missing
07/21/2017 00:00:00,Rain,Missing
07/22/2017 00:00:00,Rain,Missing
07/23/2017 00:00:00,Rain,Missing
07/24/2017 00:00:00,Rain,Missing
07/25/2017 00:00:00,Rain,Missing
07/26/2017 00:00:00,Rain,Missing
07/27/2017 00:00:00,Rain,Missing
07/28/2017 00:00:00,Rain,Missing
07/29/2017 00:00:00,Rain,Missing
07/30/2017 00:00:00,Rain,Missing
07/31/2017 00:00:00,Rain,Missing
08/01/2017 00:00:00,Rain,Missing
08/02/2017 00:00:00,Rain,Missing
08/03/2017 00:00:00,Rain,Missing
08/04/2017 00:00:00,Rain,Missing
08/05/2017 00:00:00,Rain,Missing
08/06/2017 00:00:00,Rain,Missing
08/07/2017 00:00:00,Rain,Missing
08/08/2017 00:00:00,Rain,Missing
08/09/2017 00:00:00,Rain,Missing
08/10/2017 00:00:00,Rain,Missing
08/11/2017 00:00:00,Rain,Missing
08/12/2017 00:00:00,Rain,Missing
08/13/2017 00:00:00,Rain,Missing
08/14/2017 00:00:00,Rain,Missing
08/15/2017 00:00:00,Rain,Missing
08/16/2017 00:00:00,Rain,Missing
08/17/2017 00:00:00,Rain,Missing
08/18/2017 00:00:00,Rain,Missing
08/19/2017 00:00:00,Rain,Missing
08/20/2017 00:00:00,Rain,Missing
08/21/2017 00:00:00,Rain,Missing
08/22/2017 00:00:00,Rain,Missing
08/23/2017 00:00:00,Rain,Missing
08/24/2017 00:00:00,Rain,Missing
